Chr,Start,End,Rep.TSS,Strand,Location,GeneID,TranscriptID
KhC11,189657,189657,189657,+,intron,KH.C11.344,KH.C11.344.v1.A.SL1-1
KhC2,4494696,4494700,4494698,+,TSS,KH.C2.1055,KH.C2.1055.v1.A.nonSL4-1
KhS1337,4541,4585,4541,+,intergenic,KH.S1337.3,KH.S1337.3.v1.A.nonSL4-1
KhC7,3360415,3360415,3360415,+,intergenic,KH.C7.731,KH.C7.731.v1.A.ND1-1
KhC11,2268247,2268267,2268267,+,intergenic,KH.C11.719,KH.C11.719.v1.A.ND1-1
KhC12,4039593,4039596,4039593,+,TSS,KH.C12.426,KH.C12.426.v1.A.nonSL5-1
KhC8,1172844,1172844,1172844,-,intergenic,KH.C8.484,KH.C8.484.v1.A.ND1-2
KhL22,526568,526612,526588,-,TSS,KH.L22.38,KH.L22.38.v3.A.nonSL3-1
KhS391,66641,66643,66643,-,intergenic,KH.S391.7,KH.S391.7.v1.A.ND1-1
KhC13,1344653,1344726,1344705,+,TSS,KH.C13.69,KH.C13.69.v1.C.ND1-1
KhC5,3060857,3060957,3060881,-,TSS,KH.C5.211,KH.C5.211.v1.A.nonSL4-1
KhC1,9334924,9334924,9334924,-,intergenic,KH.C1.561,KH.C1.561.v1.A.nonSL2-1
KhS115,153518,153582,153553,-,TSS,KH.S115.11,KH.S115.11.v2.A.nonSL3-1
KhC3,2035084,2035133,2035084,+,TSS,KH.C3.153,KH.C3.153.v1.A.nonSL5-1
KhC1,9224552,9224560,9224556,+,TSS,KH.C1.18,KH.C1.18.v1.A.nonSL2-1
KhC5,4522621,4522719,4522653,-,intron,KH.C5.271,KH.C5.271.v1.A.ND1-1
KhC7,4998550,4998580,4998579,-,TSS,KH.C7.572,KH.C7.572.v1.C.nonSL2-1
KhC3,1369608,1369683,1369666,+,TSS,KH.C3.571,KH.C3.571.v1.A.nonSL5-1
KhC2,1798437,1798516,1798467,+,TSS,KH.C2.895,KH.C2.895.v1.A.nonSL3-1
KhC3,6084736,6084739,6084739,+,TSS,KH.C3.124,KH.C3.124.v2.C.nonSL6-2
KhL97,12354,12354,12354,+,5UTR,KH.L97.4,KH.L97.4.v1.A.ND1-1
KhC11,241325,241351,241351,-,intergenic,KH.C11.399,KH.C11.399.v1.A.ND2-2
KhC8,5774166,5774167,5774167,-,intron,KH.C8.575,KH.C8.575.v1.A.SL1-1
KhC3,1771594,1771635,1771602,+,TSS,KH.C3.723,KH.C3.723.v1.C.nonSL2-1
KhL172,37565,37573,37571,+,TSS,KH.L172.33,KH.L172.33.v1.A.nonSL3-1
KhC13,372275,372279,372276,+,intron,KH.C13.67,KH.C13.67.v5.A.nonSL6-1
KhS852,14864,14915,14872,-,TSS,KH.S852.4,KH.S852.4.v1.A.nonSL8-1
KhC10,971327,971330,971327,+,TSS,KH.C10.519,KH.C10.519.v1.A.nonSL3-1
KhC5,1237266,1237323,1237304,+,TSS,KH.C5.545,KH.C5.545.v1.A.nonSL9-1
KhC14,236476,236609,236531,+,TSS,KH.C14.2,KH.C14.2.v2.A.nonSL9-1
KhL20,400399,400447,400430,-,intron,KH.L20.42,KH.L20.42.v1.A.nonSL6-1
KhL152,78883,78943,78903,-,TSS,KH.L152.29,KH.L152.29.v1.A.nonSL2-1
KhC4,2659667,2659721,2659703,-,TSS,KH.C4.796,KH.C4.796.v1.A.nonSL4-1
KhC4,585538,585541,585541,-,intergenic,KH.C4.427,KH.C4.427.v1.A.ND1-1
KhC3,5592816,5592832,5592818,-,TSS,KH.C3.736,KH.C3.736.v1.A.nonSL13-1
KhC10,1438791,1438851,1438841,-,TSS,KH.C10.511,KH.C10.511.v1.A.nonSL10-1
KhC2,6297561,6297564,6297561,+,intergenic,KH.C2.926,KH.C2.926.v1.A.ND1-1
KhC11,384072,384072,384072,+,TSS,KH.C11.274,KH.C11.274.v1.A.ND1-1
KhC8,2298875,2298951,2298908,+,TSS,KH.C8.32,KH.C8.32.v2.A.nonSL17-1
KhC9,5630668,5630710,5630708,-,TSS,KH.C9.698,KH.C9.698.v1.A.nonSL2-1
KhC14,1413847,1413850,1413850,-,TSS,KH.C14.4,KH.C14.4.v1.A.nonSL4-1
KhL97,56889,56932,56894,+,TSS,KH.L97.8,KH.L97.8.v1.A.nonSL21-1
KhL59,55117,55120,55120,-,TSS,KH.L59.2,KH.L59.2.v1.B.nonSL3-1
KhL87,402840,402912,402891,-,intergenic,KH.L87.17,KH.L87.17.v1.C.ND1-1
KhC2,4590809,4590811,4590811,+,TSS,KH.C2.891,KH.C2.891.v1.A.nonSL3-1
KhS831,4475,4475,4475,-,TSS,KH.S831.1,KH.S831.1.v1.A.nonSL3-1
KhC4,782072,782079,782079,+,TSS,KH.C4.102,KH.C4.102.v1.A.nonSL2-1
KhL57,191949,191951,191951,-,TSS,KH.L57.6,KH.L57.6.v1.A.nonSL3-1
KhC1,893188,893235,893188,-,TSS,KH.C1.376,KH.C1.376.v1.A.nonSL2-1
KhS779,7192,7238,7192,+,intergenic,KH.S779.1,KH.S779.1.v1.A.nonSL6-1
KhC11,1260249,1260252,1260252,-,TSS,KH.C11.249,KH.C11.249.v1.A.ND1-1
KhC14,4366119,4366119,4366119,+,intergenic,KH.C14.129,KH.C14.129.v1.A.nonSL8-1
KhC2,5799634,5799634,5799634,-,intergenic,KH.C2.1105,KH.C2.1105.v1.A.ND1-1
KhC10,4708163,4708209,4708209,+,TSS,KH.C10.234,KH.C10.234.v1.A.nonSL14-1
KhL51,4603,4630,4615,-,TSS,KH.L51.7,KH.L51.7.v1.C.nonSL17-1
KhS657,33235,33410,33369,-,TSS,KH.S657.2,KH.S657.2.v1.A.ND2-1
KhL141,245190,245200,245197,-,TSS,KH.L141.45,KH.L141.45.v1.A.nonSL7-1
KhL173,49823,49826,49823,-,intergenic,No_transcripts,No_transcripts
KhC1,9334364,9334364,9334364,-,TSS,KH.C1.561,KH.C1.561.v1.A.nonSL2-1
KhC3,3220489,3220544,3220517,-,TSS,KH.C3.175,KH.C3.175.v1.A.nonSL4-1
KhC10,1021819,1021907,1021859,-,TSS,KH.C10.387,KH.C10.387.v1.A.nonSL5-1
KhC3,1897456,1897552,1897510,-,TSS,KH.C3.317,KH.C3.317.v1.A.ND1-1
KhC10,4685302,4685305,4685304,-,TSS,KH.C10.40,KH.C10.40.v1.A.nonSL1-2
KhS346,6034,6078,6067,+,TSS,KH.S346.11,KH.S346.11.v1.A.nonSL3-1
KhC1,3320194,3320196,3320196,+,TSS,KH.C1.264,KH.C1.264.v1.A.nonSL10-1
KhC4,2188542,2188542,2188542,-,TSS,KH.C4.575,KH.C4.575.v1.A.nonSL3-1
KhC10,4708092,4708108,4708108,+,5UTR,KH.C10.234,KH.C10.234.v1.A.ND1-1
KhC2,7050394,7050400,7050396,-,intergenic,KH.C2.991,KH.C2.991.v1.C.ND1-1
KhC1,8809920,8809953,8809944,+,TSS,KH.C1.1258,KH.C1.1258.v1.A.nonSL8-1
KhC7,1816233,1816283,1816283,+,TSS,KH.C7.478,KH.C7.478.v1.A.nonSL7-1
KhC1,8174996,8175001,8174999,+,TSS,KH.C1.702,KH.C1.702.v1.A.nonSL12-1
KhC3,5222188,5222190,5222188,+,TSS,KH.C3.462,KH.C3.462.v1.C.nonSL5-1
KhC1,9235051,9235061,9235059,+,intergenic,KH.C1.327,KH.C1.327.v1.A.ND1-1
KhS588,15493,15599,15544,+,TSS,KH.S588.6,KH.S588.6.v1.A.ND1-1
KhS433,15276,15287,15276,+,intergenic,No_transcripts,No_transcripts
KhC4,4633997,4634019,4634005,+,intergenic,KH.C4.598,KH.C4.598.v1.A.ND1-1
KhL19,115709,115711,115711,+,TSS,KH.L19.10,KH.L19.10.v1.A.nonSL5-1
KhC12,66954,67018,66972,+,TSS,KH.C12.395,KH.C12.395.v1.A.nonSL3-1
KhC10,743370,743414,743370,-,TSS,KH.C10.196,KH.C10.196.v1.A.nonSL3-1
KhC11,2891211,2891234,2891229,-,TSS,KH.C11.503,KH.C11.503.v1.A.nonSL8-1
KhL18,298148,298249,298249,-,TSS,KH.L18.5,KH.L18.5.v1.A.nonSL28-1
KhC1,2634338,2634382,2634367,-,intergenic,KH.C1.185,KH.C1.185.v1.A.ND1-1
KhC11,3871740,3871741,3871740,-,intergenic,KH.C11.465,KH.C11.465.v1.C.ND1-1
KhC7,3492387,3492387,3492387,+,intergenic,KH.C7.653,KH.C7.653.v1.A.ND1-1
KhL152,5729,5730,5730,-,TSS,KH.L152.7,KH.L152.7.v1.A.nonSL4-1
KhL164,36979,36987,36983,+,intergenic,KH.L164.17,KH.L164.17.v1.B.ND1-1
KhC2,593971,593990,593975,-,TSS,KH.C2.903,KH.C2.903.v1.A.nonSL10-1
KhC1,7018997,7019055,7019003,-,TSS,KH.C1.1223,KH.C1.1223.v1.A.nonSL3-1
KhC13,130308,130308,130308,+,intergenic,KH.C13.63,KH.C13.63.v1.A.ND1-1
KhC7,3161745,3161791,3161747,+,intron,KH.C7.221,KH.C7.221.v2.A.ND2-1
KhC10,230242,230268,230268,-,TSS,KH.C10.305,KH.C10.305.v1.A.nonSL7-1
KhC1,7795815,7795818,7795815,-,TSS,KH.C1.453,KH.C1.453.v1.A.nonSL1-1
KhS761,21783,21880,21783,-,TSS,KH.S761.4,KH.S761.4.v2.A.nonSL6-1
KhC3,4747955,4747956,4747956,-,intergenic,KH.C3.126,KH.C3.126.v1.C.ND1-1
KhC1,7321160,7321274,7321274,-,TSS,KH.C1.26,KH.C1.26.v1.A.nonSL13-2
KhC5,3521531,3521534,3521531,-,TSS,KH.C5.255,KH.C5.255.v1.A.nonSL4-1
KhC1,1623735,1623735,1623735,+,TSS,KH.C1.1268,KH.C1.1268.v1.A.nonSL8-1
KhC2,2142301,2142301,2142301,-,intergenic,KH.C2.634,KH.C2.634.v1.A.nonSL4-1
KhC4,3424802,3424854,3424827,+,TSS,KH.C4.437,KH.C4.437.v1.A.nonSL1-1
KhS164,213385,213389,213389,-,TSS,KH.S164.22,KH.S164.22.v1.B.ND1-1
KhL97,11182,11182,11182,-,TSS,KH.L97.14,KH.L97.14.v1.A.ND1-1
KhC9,1398292,1398412,1398338,+,TSS,KH.C9.325,KH.C9.325.v1.A.nonSL6-1
KhC6,1840586,1840586,1840586,+,TSS,KH.C6.69,KH.C6.69.v1.A.nonSL2-1
KhC11,506279,506360,506309,+,intergenic,KH.C11.470,KH.C11.470.v1.A.ND1-1
KhC9,5150570,5150572,5150572,-,TSS,KH.C9.73,KH.C9.73.v1.A.nonSL1-1
KhC9,5455072,5455077,5455074,-,intergenic,KH.C9.187,KH.C9.187.v1.A.ND1-1
KhC14,2791427,2791457,2791427,+,5UTR,KH.C14.535,KH.C14.535.v1.A.SL1-1
KhC10,753801,753806,753801,+,intron,KH.C10.212,KH.C10.212.v2.A.ND1-1
KhC6,2206010,2206024,2206015,-,TSS,KH.C6.99,KH.C6.99.v1.B.nonSL23-1
KhC11,1646115,1646181,1646129,-,TSS,KH.C11.371,KH.C11.371.v1.A.ND1-1
KhC9,1519307,1519348,1519327,+,TSS,KH.C9.834,KH.C9.834.v1.A.nonSL5-1
KhC2,1219243,1219275,1219275,+,5UTR,KH.C2.371,KH.C2.371.v2.A.SL1-1
KhL33,28124,28204,28169,-,intron,KH.L33.4,KH.L33.4.v1.B.ND1-1
KhL39,18620,18622,18620,-,TSS,KH.L39.8,KH.L39.8.v1.A.nonSL45-1
KhS1448,1339,1340,1340,+,TSS,KH.S1448.1,KH.S1448.1.v1.A.nonSL2-1
KhC5,1022653,1022714,1022691,+,TSS,KH.C5.273,KH.C5.273.v1.A.nonSL4-1
KhC2,7749398,7749435,7749403,+,TSS,KH.C2.138,KH.C2.138.v1.A.nonSL10-1
KhC4,2020047,2020047,2020047,-,intergenic,KH.C4.294,KH.C4.294.v1.A.nonSL2-1
KhC6,1744353,1744355,1744353,-,intergenic,KH.C6.269,KH.C6.269.v1.A.ND1-1
KhC2,1833902,1833902,1833902,-,TSS,KH.C2.141,KH.C2.141.v1.A.nonSL2-1
KhC2,5973108,5973173,5973122,-,TSS,KH.C2.628,KH.C2.628.v2.A.nonSL5-1
KhL46,83882,83897,83887,-,intergenic,KH.L46.2,KH.L46.2.v1.A.ND1-1
KhL46,84289,84364,84290,+,TSS,KH.L46.1,KH.L46.1.v1.A.nonSL5-1
KhC1,5216978,5216989,5216978,-,5UTR,KH.C1.90,KH.C1.90.v3.A.SL3-1
KhS534,35682,35683,35682,+,TSS,KH.S534.3,KH.S534.3.v1.A.nonSL2-1
KhL20,47150,47162,47150,-,intergenic,KH.L20.33,KH.L20.33.v1.A.nonSL4-1
KhL41,326961,326966,326966,-,intron,KH.L41.56,KH.L41.56.v1.A.SL1-1
KhL152,21337,21339,21339,-,TSS,KH.L152.14,KH.L152.14.v1.A.nonSL4-1
KhL7,112620,112682,112640,+,TSS,KH.L7.2,KH.L7.2.v1.A.nonSL7-1
KhS1735,2742,2868,2806,-,TAS,KH.S1735.1,KH.S1735.1.v1.A.SL1-2
KhC4,5160106,5160120,5160109,+,5UTR,KH.C4.635,KH.C4.635.v1.A.SL2-1
KhC12,2294959,2294992,2294976,+,TSS,KH.C12.54,KH.C12.54.v1.A.nonSL2-1
KhC2,6752643,6752662,6752643,-,TSS,KH.C2.224,KH.C2.224.v1.A.nonSL4-1
KhC1,5745998,5746036,5746009,-,TSS,KH.C1.380,KH.C1.380.v1.A.nonSL3-1
KhC2,5895675,5895749,5895708,+,TSS,KH.C2.1086,KH.C2.1086.v1.A.nonSL3-1
KhS675,29520,29580,29550,+,5UTR,KH.S675.2,KH.S675.2.v1.A.nonSL3-1
KhC11,5140065,5140106,5140088,-,TSS,KH.C11.22,KH.C11.22.v3.A.nonSL33-1
KhC1,710035,710038,710038,+,intron,KH.C1.335,KH.C1.335.v2.A.SL2-1
KhL141,238529,238583,238549,+,TSS,KH.L141.30,KH.L141.30.v1.A.nonSL4-1
KhS2032,656,656,656,-,intron,KH.S2032.1,KH.S2032.1.v1.A.ND1-1
KhC10,2377712,2377717,2377717,-,intergenic,KH.C10.6,KH.C10.6.v1.A.ND1-1
KhC1,1298483,1298579,1298543,+,TSS,KH.C1.101,KH.C1.101.v1.A.nonSL5-1
KhC9,410247,410247,410247,-,TSS,KH.C9.785,KH.C9.785.v1.A.ND2-1
KhC3,4939975,4940015,4939979,-,intergenic,KH.C3.230,KH.C3.230.v2.A.nonSL4-1
KhC4,3982981,3982995,3982981,+,intergenic,KH.C4.64,KH.C4.64.v1.A.nonSL3-1
KhS988,12454,12477,12477,+,TSS,KH.S988.1,KH.S988.1.v1.A.nonSL9-1
KhC9,5560746,5560796,5560756,+,intergenic,KH.C9.727,KH.C9.727.v1.A.nonSL3-1
KhC11,2906410,2906415,2906410,-,intergenic,KH.C11.59,KH.C11.59.v6.A.ND3-2
KhC3,4367574,4367577,4367574,+,TSS,KH.C3.661,KH.C3.661.v1.C.ND1-1
KhL108,391564,391583,391583,-,TSS,KH.L108.33,KH.L108.33.v1.A.nonSL4-1
KhC3,3899947,3899965,3899951,+,TSS,KH.C3.816,KH.C3.816.v1.B.nonSL2-1
KhL38,112653,112676,112661,+,TSS,KH.L38.10,KH.L38.10.v1.A.nonSL31-1
KhC3,4590273,4590311,4590304,-,intergenic,KH.C3.345,KH.C3.345.v1.C.ND1-1
KhS425,8296,8352,8334,-,TSS,KH.S425.4,KH.S425.4.v1.B.ND1-1
KhC8,2673928,2673957,2673928,-,TSS,KH.C8.518,KH.C8.518.v1.A.nonSL8-1
KhC11,4176310,4176310,4176310,+,5UTR,KH.C11.648,KH.C11.648.v1.A.SL1-1
KhC8,841295,841322,841304,+,TSS,KH.C8.580,KH.C8.580.v1.A.nonSL4-1
KhC3,5197860,5197861,5197861,-,intergenic,KH.C3.848,KH.C3.848.v1.C.nonSL3-1
KhC14,478515,478520,478520,+,TSS,KH.C14.481,KH.C14.481.v1.A.ND1-1
KhL18,927479,927518,927483,+,TSS,KH.L18.112,KH.L18.112.v1.A.nonSL21-1
KhC4,4633767,4633815,4633796,+,intergenic,KH.C4.598,KH.C4.598.v1.A.ND1-1
KhS696,1398,1452,1408,-,intergenic,No_transcripts,No_transcripts
KhC2,7240072,7240117,7240096,+,TSS,KH.C2.301,KH.C2.301.v1.A.nonSL4-1
KhC1,1949342,1949381,1949350,-,intergenic,KH.C1.411,KH.C1.411.v1.A.nonSL2-1
KhC12,3505841,3505841,3505841,-,TSS,KH.C12.671,KH.C12.671.v1.A.nonSL3-1
KhC5,3496221,3496244,3496244,-,intergenic,KH.C5.417,KH.C5.417.v1.A.ND1-1
KhC1,1626412,1626508,1626474,+,TSS,KH.C1.1192,KH.C1.1192.v1.A.nonSL10-1
KhC9,5195236,5195313,5195239,-,intron,KH.C9.134,KH.C9.134.v1.B.ND1-1
KhC3,6055880,6055883,6055883,+,TSS,KH.C3.501,KH.C3.501.v2.A.nonSL2-1
KhC9,4201049,4201098,4201091,+,TSS,KH.C9.367,KH.C9.367.v1.A.nonSL2-1
KhC8,40953,40981,40966,-,TSS,KH.C8.620,KH.C8.620.v1.A.ND1-1
KhC3,1653296,1653329,1653329,+,TSS,KH.C3.16,KH.C3.16.v1.A.nonSL11-1
KhC9,4374821,4374824,4374824,+,TSS,KH.C9.764,KH.C9.764.v1.A.nonSL3-1
KhC14,1965869,1965871,1965871,-,TSS,KH.C14.120,KH.C14.120.v2.A.nonSL2-1
KhS1007,11149,11192,11188,+,intergenic,No_transcripts,No_transcripts
KhC12,4142932,4142957,4142936,-,TSS,KH.C12.441,KH.C12.441.v1.A.nonSL8-1
KhC14,3149201,3149215,3149201,-,TSS,KH.C14.169,KH.C14.169.v1.B.ND1-1
KhC12,1061029,1061029,1061029,+,TSS,KH.C12.106,KH.C12.106.v1.B.nonSL2-1
KhC1,4045429,4045435,4045429,-,TSS,KH.C1.1124,KH.C1.1124.v1.A.nonSL2-1
KhC8,1544409,1544442,1544421,+,TSS,KH.C8.199,KH.C8.199.v1.A.nonSL9-1
KhC14,1675062,1675066,1675066,+,TSS,KH.C14.209,KH.C14.209.v1.A.nonSL5-1
KhC1,5147947,5147957,5147955,-,intergenic,KH.C1.1047,KH.C1.1047.v1.A.ND1-1
KhC2,2837082,2837084,2837084,+,intergenic,KH.C2.264,KH.C2.264.v1.A.ND1-1
KhC3,3242145,3242158,3242158,-,intergenic,KH.C3.175,KH.C3.175.v1.A.nonSL7-1
KhS1336,9980,10102,10082,-,intergenic,KH.S1336.3,KH.S1336.3.v1.A.ND1-1
KhL63,33795,33830,33818,+,intergenic,KH.L63.16,KH.L63.16.v1.A.ND1-1
KhC12,4957264,4957323,4957265,+,TSS,KH.C12.538,KH.C12.538.v1.A.nonSL27-1
KhC5,4556966,4556975,4556972,-,TSS,KH.C5.35,KH.C5.35.v1.A.nonSL4-1
KhC4,2384498,2384581,2384533,+,TSS,KH.C4.206,KH.C4.206.v2.A.nonSL12-1
KhC9,5942495,5942578,5942521,+,intron,KH.C9.182,KH.C9.182.v1.A.SL4-1
KhL165,31825,31861,31838,+,intergenic,No_transcripts,No_transcripts
KhC5,1386579,1386586,1386584,+,TSS,KH.C5.130,KH.C5.130.v1.A.nonSL2-2
KhC2,3062968,3062968,3062968,-,intergenic,KH.C2.882,KH.C2.882.v1.A.ND1-1
KhL108,379864,379867,379865,+,TSS,KH.L108.25,KH.L108.25.v2.A.ND2-1
KhC3,5032445,5032468,5032456,-,intergenic,KH.C3.248,KH.C3.248.v1.A.ND5-1
KhC10,4063020,4063037,4063031,-,TSS,KH.C10.303,KH.C10.303.v1.A.nonSL8-1
KhC10,941066,941099,941077,-,intron,KH.C10.605,KH.C10.605.v2.B.SL2-1
KhC10,2011333,2011342,2011333,-,TSS,KH.C10.177,KH.C10.177.v1.A.ND1-1
KhC8,4076606,4076609,4076609,+,TSS,KH.C8.420,KH.C8.420.v1.A.nonSL2-1
KhC11,4253290,4253333,4253298,-,TSS,KH.C11.221,KH.C11.221.v1.A.nonSL4-1
KhC3,2293779,2293802,2293779,+,TSS,KH.C3.199,KH.C3.199.v1.A.nonSL30-1
KhC1,7587440,7587468,7587468,-,TSS,KH.C1.251,KH.C1.251.v1.A.ND1-1
KhC7,4802756,4802761,4802756,-,TSS,KH.C7.164,KH.C7.164.v1.C.ND4-1
KhC2,3001501,3001501,3001501,+,TSS,KH.C2.1125,KH.C2.1125.v1.A.nonSL4-1
KhC1,7553190,7553237,7553221,+,TSS,KH.C1.297,KH.C1.297.v1.A.nonSL2-1
KhC11,5128868,5128886,5128880,-,intron,KH.C11.488,KH.C11.488.v2.A.SL7-1
KhL4,353808,353946,353937,-,intron,KH.L4.22,KH.L4.22.v1.A.SL4-2
KhC8,2590044,2590044,2590044,-,intergenic,KH.C8.456,KH.C8.456.v1.A.nonSL3-1
KhC8,6045967,6046055,6046019,+,TSS,KH.C8.808,KH.C8.808.v1.A.nonSL5-1
KhC14,3220291,3220296,3220292,+,intron,KH.C14.7,KH.C14.7.v1.A.SL2-1
KhC9,2445331,2445331,2445331,-,intergenic,KH.C9.108,KH.C9.108.v1.B.ND1-1
KhC12,3145246,3145327,3145321,-,TSS,KH.C12.432,KH.C12.432.v1.A.ND1-1
KhC2,1979843,1979846,1979843,+,TSS,KH.C2.1069,KH.C2.1069.v1.A.nonSL2-1
KhC4,3661936,3661939,3661939,-,TSS,KH.C4.73,KH.C4.73.v1.A.nonSL1-1
KhC2,5595326,5595348,5595338,-,intergenic,KH.C2.397,KH.C2.397.v1.A.ND1-1
KhL172,53027,53029,53028,+,TSS,KH.L172.26,KH.L172.26.v1.A.nonSL8-1
KhL154,489654,489656,489654,+,intron,KH.L154.10,KH.L154.10.v6.A.SL3-1
KhC7,881011,881071,881071,-,TSS,KH.C7.149,KH.C7.149.v1.A.ND2-1
KhC13,1060246,1060347,1060305,+,TSS,KH.C13.142,KH.C13.142.v1.A.nonSL8-1
KhC5,461653,461710,461682,-,TSS,KH.C5.524,KH.C5.524.v2.A.ND1-1
KhS390,51998,51998,51998,-,TSS,KH.S390.5,KH.S390.5.v1.A.nonSL23-1
KhC6,1258897,1258930,1258897,+,TSS,KH.C6.58,KH.C6.58.v1.A.ND1-1
KhC8,329715,329773,329741,+,TSS,KH.C8.414,KH.C8.414.v1.A.nonSL2-1
KhC5,1085969,1085969,1085969,-,intergenic,KH.C5.390,KH.C5.390.v1.B.ND1-1
KhL43,20287,20288,20287,-,intergenic,No_transcripts,No_transcripts
KhC9,5132634,5132697,5132675,-,TSS,KH.C9.871,KH.C9.871.v1.A.ND1-1
KhS779,11134,11134,11134,-,TSS,KH.S779.2,KH.S779.2.v1.A.nonSL6-1
KhC6,1311918,1311920,1311920,-,intergenic,KH.C6.115,KH.C6.115.v1.A.ND1-1
KhC14,700340,700358,700355,-,TSS,KH.C14.269,KH.C14.269.v1.B.nonSL1-1
KhC1,8220815,8220823,8220819,+,TSS,KH.C1.144,KH.C1.144.v1.A.nonSL3-2
KhL3,88406,88426,88406,-,TSS,KH.L3.1,KH.L3.1.v1.A.nonSL4-1
KhL20,413890,413900,413891,-,TSS,KH.L20.42,KH.L20.42.v1.A.nonSL7-1
KhC9,1891241,1891314,1891287,-,TSS,KH.C9.557,KH.C9.557.v1.B.nonSL5-1
KhC3,2146302,2146327,2146314,+,intergenic,KH.C3.838,KH.C3.838.v1.C.ND1-1
KhC13,1066917,1066920,1066918,-,TSS,KH.C13.29,KH.C13.29.v1.B.nonSL4-1
KhC12,3879360,3879362,3879361,+,intron,KH.C12.114,KH.C12.114.v2.A.ND1-1
KhL116,433473,433504,433494,-,TSS,KH.L116.59,KH.L116.59.v1.A.nonSL4-1
KhC11,4605968,4605968,4605968,+,TSS,KH.C11.148,KH.C11.148.v2.A.nonSL2-1
KhS891,17809,17812,17812,-,intergenic,No_transcripts,No_transcripts
KhC7,3918756,3918809,3918787,+,TSS,KH.C7.756,KH.C7.756.v1.A.nonSL2-1
KhC1,922716,922752,922722,-,TSS,KH.C1.359,KH.C1.359.v1.A.nonSL5-1
KhC3,2873311,2873311,2873311,-,TSS,KH.C3.329,KH.C3.329.v1.A.nonSL1-1
KhS1740,599,653,632,+,TSS,KH.S1740.2,KH.S1740.2.v2.A.nonSL6-1
KhL131,17710,17717,17713,+,TSS,KH.L131.10,KH.L131.10.v1.A.nonSL2-1
KhC4,2345565,2345614,2345585,-,TSS,KH.C4.93,KH.C4.93.v1.A.nonSL2-1
KhL4,191986,192047,192004,-,intron,KH.L4.17,KH.L4.17.v2.A.nonSL3-1
KhC6,241299,241335,241309,+,TSS,KH.C6.202,KH.C6.202.v1.A.nonSL4-1
KhL91,4070,4080,4070,-,intergenic,No_transcripts,No_transcripts
KhC4,4034481,4034540,4034505,+,TSS,KH.C4.604,KH.C4.604.v1.A.nonSL4-1
KhC11,2562046,2562067,2562051,+,TSS,KH.C11.402,KH.C11.402.v1.A.ND1-1
KhC12,2488003,2488008,2488006,+,5UTR,KH.C12.283,KH.C12.283.v1.A.nonSL4-1
KhC9,3776593,3776657,3776632,+,TSS,KH.C9.645,KH.C9.645.v1.A.nonSL6-1
KhC3,1337268,1337287,1337287,-,TSS,KH.C3.858,KH.C3.858.v1.A.ND1-1
KhC7,5792405,5792407,5792405,+,TSS,KH.C7.269,KH.C7.269.v1.A.nonSL1-1
KhC1,7183266,7183266,7183266,+,TSS,KH.C1.1186,KH.C1.1186.v1.A.nonSL1-1
KhL141,472435,472436,472436,+,intergenic,KH.L141.21,KH.L141.21.v1.A.ND1-1
KhC1,2405184,2405185,2405184,+,intergenic,KH.C1.469,KH.C1.469.v1.A.nonSL3-1
KhC14,3055266,3055270,3055270,+,TSS,KH.C14.131,KH.C14.131.v1.A.nonSL2-1
KhC9,5927175,5927207,5927178,-,TSS,KH.C9.777,KH.C9.777.v1.A.ND2-1
KhC3,3647481,3647534,3647481,+,intergenic,KH.C3.677,KH.C3.677.v1.A.ND1-1
KhC9,4323909,4323909,4323909,+,TSS,KH.C9.526,KH.C9.526.v1.A.nonSL5-1
KhC14,1563699,1563699,1563699,-,TSS,KH.C14.532,KH.C14.532.v1.C.ND1-1
KhC8,5443220,5443271,5443242,+,5UTR,KH.C8.255,KH.C8.255.v1.A.nonSL2-1
KhC2,5572647,5572754,5572686,-,TSS,KH.C2.441,KH.C2.441.v2.A.nonSL4-1
KhS346,24,43,33,-,intergenic,No_transcripts,No_transcripts
KhC9,637576,637580,637576,-,intergenic,KH.C9.436,KH.C9.436.v1.B.ND1-1
KhC1,5299770,5299781,5299781,-,TSS,KH.C1.509,KH.C1.509.v1.A.nonSL4-1
KhC2,6962468,6962702,6962702,+,TSS,KH.C2.304,KH.C2.304.v1.B.nonSL7-1
KhC3,2411261,2411265,2411262,+,intron,KH.C3.194,KH.C3.194.v1.A.SL1-1
KhC8,3396258,3396271,3396263,-,intergenic,KH.C8.141,KH.C8.141.v1.B.ND1-1
KhC2,5628720,5628754,5628754,+,TSS,KH.C2.1077,KH.C2.1077.v1.A.ND1-1
KhC11,3924063,3924128,3924086,-,TSS,KH.C11.58,KH.C11.58.v2.A.nonSL9-1
KhC1,235112,235250,235129,+,TSS,KH.C1.781,KH.C1.781.v1.A.nonSL4-1
KhS1337,5873,5893,5879,+,TSS,KH.S1337.3,KH.S1337.3.v1.A.nonSL2-1
KhC3,809952,809952,809952,-,TSS,KH.C3.237,KH.C3.237.v1.A.nonSL2-1
KhL94,10749,10749,10749,-,TSS,KH.L94.1,KH.L94.1.v1.A.nonSL3-1
KhC4,1176508,1176562,1176523,-,TSS,KH.C4.531,KH.C4.531.v2.A.nonSL26-1
KhL149,37506,37554,37519,-,intergenic,KH.L149.11,KH.L149.11.v1.A.ND1-1
KhC5,2574982,2574982,2574982,-,intergenic,KH.C5.577,KH.C5.577.v1.A.ND1-1
